time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
5.457,593.00,548.81,press,100.00
7.296,36.66,103.32,release,100.00
9.083,563.34,548.81,press,100.00
10.590,50.24,103.32,release,100.00
12.580,648.64,548.81,press,100.00
13.772,189.47,103.32,release,100.00
15.210,287.47,548.81,press,0.00
16.946,194.42,103.32,release,100.00
18.927,585.06,548.81,press,100.00
20.571,97.01,103.32,release,100.00
22.301,668.14,548.81,press,31.18
23.737,159.72,103.32,release,100.00
25.695,594.58,548.81,press,100.00
27.461,51.80,103.32,release,100.00
29.085,540.30,548.81,press,100.00
30.835,71.16,103.32,release,100.00
32.473,523.96,548.81,press,100.00
34.222,93.63,103.32,release,100.00
36.081,625.53,548.81,press,100.00
37.416,94.34,103.32,release,100.00
39.385,662.87,548.81,press,38.05
40.685,127.49,103.32,release,100.00
42.770,615.05,548.81,press,100.00
44.302,72.16,103.32,release,100.00
46.272,630.27,548.81,press,100.00
47.648,69.27,103.32,release,100.00
49.568,628.55,548.81,press,100.00
50.906,78.43,103.32,release,100.00
52.778,550.75,548.81,press,100.00
54.506,95.07,103.32,release,100.00
56.374,620.76,548.81,press,100.00
58.020,80.94,103.32,release,100.00
59.772,591.35,548.81,press,100.00
61.616,37.74,103.32,release,100.00
63.030,387.11,548.81,press,0.00
64.886,245.97,103.32,release,10.65
66.804,520.42,548.81,press,100.00
68.627,79.15,103.32,release,100.00
