time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
12.541,284.21,623.24,press,0.00
12.652,332.57,114.49,release,0.00
13.010,492.21,623.24,press,12.03
14.419,735.21,114.49,release,0.00
14.745,747.18,623.24,press,15.55
16.482,9.53,114.49,release,26.81
19.221,770.02,623.24,press,5.11
20.967,46.36,114.49,release,100.00
23.051,794.22,623.24,press,0.00
24.794,26.12,114.49,release,40.82
26.702,729.80,623.24,press,25.72
28.410,43.78,114.49,release,79.83
30.090,790.02,623.24,press,0.00
31.488,59.21,114.49,release,100.00
33.337,778.30,623.24,press,1.85
34.906,34.94,114.49,release,52.30
36.801,805.58,623.24,press,0.00
39.049,80.52,114.49,release,100.00
41.557,710.85,623.24,press,41.63
43.639,60.16,114.49,release,100.00
45.839,720.84,623.24,press,32.31
47.823,56.66,114.49,release,100.00
49.876,679.96,623.24,press,100.00
51.645,71.03,114.49,release,100.00
53.940,719.41,623.24,press,33.48
55.678,64.91,114.49,release,100.00
58.084,724.91,623.24,press,29.16
60.053,59.03,114.49,release,100.00
62.149,719.43,623.24,press,33.46
64.099,52.93,114.49,release,100.00
66.279,716.08,623.24,press,36.41
68.183,56.12,114.49,release,100.00
70.331,742.74,623.24,press,17.91
72.649,51.20,114.49,release,100.00
75.366,701.44,623.24,press,54.65
77.213,43.56,114.49,release,77.92
79.631,685.03,623.24,press,100.00
81.646,69.25,114.49,release,100.00
84.143,679.75,623.24,press,100.00
85.884,80.80,114.49,release,100.00
88.376,659.49,623.24,press,100.00
90.120,63.33,114.49,release,100.00
