time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
2.016,599.38,555.15,press,100.00
3.595,84.44,104.27,release,100.00
5.295,605.17,555.15,press,100.00
6.856,102.42,104.27,release,100.00
8.709,600.59,555.15,press,100.00
10.258,75.29,104.27,release,100.00
11.891,566.03,555.15,press,100.00
13.548,112.01,104.27,release,100.00
15.420,570.28,555.15,press,100.00
17.142,106.49,104.27,release,100.00
18.116,327.29,555.15,press,0.00
18.229,386.13,104.27,release,0.00
18.351,441.72,555.15,press,38.98
18.359,441.72,104.27,release,0.00
18.794,623.84,555.15,press,100.00
20.638,120.10,104.27,release,100.00
22.134,613.26,555.15,press,100.00
23.720,146.17,104.27,release,100.00
25.263,597.27,555.15,press,100.00
26.824,140.85,104.27,release,100.00
28.478,610.04,555.15,press,100.00
30.347,95.61,104.27,release,100.00
31.883,559.23,555.15,press,100.00
33.737,137.12,104.27,release,100.00
35.167,563.91,555.15,press,100.00
36.696,151.58,104.27,release,100.00
38.248,564.26,555.15,press,100.00
40.006,61.55,104.27,release,100.00
41.726,572.57,555.15,press,100.00
43.266,84.22,104.27,release,100.00
44.566,497.58,555.15,press,100.00
46.327,144.63,104.27,release,100.00
47.761,511.28,555.15,press,100.00
49.484,110.01,104.27,release,100.00
50.798,400.80,555.15,press,3.21
52.461,247.28,104.27,release,10.40
54.404,456.07,555.15,press,100.00
55.941,172.18,104.27,release,100.00
57.802,480.76,555.15,press,100.00
59.121,205.27,104.27,release,74.11
60.753,497.14,555.15,press,100.00
62.086,176.44,104.27,release,100.00
63.640,480.45,555.15,press,100.00
65.019,59.24,104.27,release,100.00
66.444,679.54,555.15,press,25.70
67.452,87.90,104.27,release,100.00
68.736,627.06,555.15,press,100.00
69.764,46.02,104.27,release,100.00
70.848,557.20,555.15,press,100.00
71.926,85.29,104.27,release,100.00
72.816,445.91,555.15,press,46.07
73.895,132.26,104.27,release,100.00
75.102,535.15,555.15,press,100.00
76.090,106.93,104.27,release,100.00
77.216,546.99,555.15,press,100.00
78.102,115.75,104.27,release,100.00
78.975,431.79,555.15,press,26.75
80.128,103.62,104.27,release,100.00
81.039,527.49,555.15,press,100.00
82.039,130.53,104.27,release,100.00
83.079,514.55,555.15,press,100.00
84.092,128.34,104.27,release,100.00
85.271,614.08,555.15,press,100.00
86.249,101.60,104.27,release,100.00
87.279,541.41,555.15,press,100.00
88.472,131.67,104.27,release,100.00
89.354,612.88,555.15,press,100.00
90.335,101.95,104.27,release,100.00
91.531,654.55,555.15,press,100.00
92.310,95.57,104.27,release,100.00
