time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
7.870,636.67,623.24,press,100.00
9.739,28.47,114.49,release,100.00
11.027,581.82,623.24,press,100.00
12.582,33.61,114.49,release,100.00
14.107,606.54,623.24,press,100.00
15.307,61.90,114.49,release,100.00
16.622,594.27,623.24,press,100.00
17.826,64.68,114.49,release,100.00
19.232,596.99,623.24,press,100.00
20.337,58.62,114.49,release,100.00
21.756,673.42,623.24,press,100.00
22.843,74.43,114.49,release,100.00
24.062,473.93,623.24,press,9.74
24.917,369.29,114.49,release,0.00
25.787,279.02,623.24,press,0.00
26.126,452.40,114.49,release,0.00
26.822,439.44,623.24,press,0.00
27.106,243.32,114.49,release,39.25
