time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
4.650,795.66,555.15,press,0.00
6.067,85.31,104.27,release,100.00
7.584,867.79,555.15,press,0.00
8.817,92.03,104.27,release,100.00
9.770,458.20,555.15,press,100.00
9.879,552.93,104.27,release,0.00
10.124,754.65,555.15,press,0.00
11.413,181.19,104.27,release,100.00
12.840,743.74,555.15,press,0.00
14.268,93.72,104.27,release,100.00
15.686,840.26,555.15,press,0.00
16.988,78.93,104.27,release,100.00
18.298,757.51,555.15,press,0.00
19.828,60.89,104.27,release,100.00
20.941,769.50,555.15,press,0.00
22.306,112.27,104.27,release,100.00
23.802,819.38,555.15,press,0.00
25.321,65.41,104.27,release,100.00
26.445,773.53,555.15,press,0.00
28.006,72.71,104.27,release,100.00
29.262,840.40,555.15,press,0.00
30.693,55.74,104.27,release,100.00
32.131,928.74,555.15,press,0.00
33.560,29.53,104.27,release,100.00
34.851,873.14,555.15,press,0.00
36.398,26.33,104.27,release,100.00
37.698,867.25,555.15,press,0.00
39.121,39.12,104.27,release,100.00
40.340,786.10,555.15,press,0.00
41.853,65.96,104.27,release,100.00
42.953,724.10,555.15,press,0.00
44.479,85.42,104.27,release,100.00
45.901,886.41,555.15,press,0.00
47.219,66.96,104.27,release,100.00
48.645,876.76,555.15,press,0.00
50.055,19.31,104.27,release,100.00
51.387,876.17,555.15,press,0.00
52.707,82.78,104.27,release,100.00
54.137,877.81,555.15,press,0.00
55.449,81.28,104.27,release,100.00
56.871,881.64,555.15,press,0.00
58.199,88.24,104.27,release,100.00
59.389,688.33,555.15,press,17.75
60.946,91.60,104.27,release,100.00
62.005,538.94,555.15,press,100.00
63.742,73.21,104.27,release,100.00
64.963,768.93,555.15,press,0.00
66.504,56.59,104.27,release,100.00
67.705,811.30,555.15,press,0.00
69.224,38.92,104.27,release,100.00
70.341,769.89,555.15,press,0.00
71.794,76.33,104.27,release,100.00
73.099,765.48,555.15,press,0.00
74.586,58.38,104.27,release,100.00
75.896,881.80,555.15,press,0.00
77.359,57.77,104.27,release,100.00
78.524,733.78,555.15,press,0.00
80.079,53.87,104.27,release,100.00
81.487,874.87,555.15,press,0.00
82.925,61.50,104.27,release,100.00
84.212,829.86,555.15,press,0.00
85.629,79.18,104.27,release,100.00
87.071,846.68,555.15,press,0.00
88.481,48.49,104.27,release,100.00
89.684,682.95,555.15,press,22.42
91.231,60.62,104.27,release,100.00
92.638,869.71,555.15,press,0.00
94.053,44.21,104.27,release,100.00
95.389,834.43,555.15,press,0.00
96.795,85.96,104.27,release,100.00
98.330,953.43,555.15,press,0.00
99.625,74.73,104.27,release,100.00
100.945,829.14,555.15,press,0.00
102.277,95.19,104.27,release,100.00
103.696,783.16,555.15,press,0.00
105.087,57.64,104.27,release,100.00
106.455,782.56,555.15,press,0.00
107.946,38.82,104.27,release,100.00
109.268,818.80,555.15,press,0.00
110.790,45.49,104.27,release,100.00
111.880,759.18,555.15,press,0.00
113.442,65.90,104.27,release,100.00
114.637,805.59,555.15,press,0.00
116.089,73.44,104.27,release,100.00
117.253,726.57,555.15,press,0.00
118.846,51.40,104.27,release,100.00
120.034,751.65,555.15,press,0.00
120.937,875.41,104.27,release,0.00
