time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
1.330,800.90,271.33,press,0.00
2.981,0.00,61.70,release,100.00
4.492,297.98,271.33,press,100.00
6.256,10.09,61.70,release,100.00
7.553,293.90,271.33,press,100.00
9.115,37.04,61.70,release,100.00
10.618,370.93,271.33,press,30.71
12.167,25.37,61.70,release,100.00
13.483,356.57,271.33,press,44.35
15.126,23.94,61.70,release,100.00
16.421,307.55,271.33,press,100.00
18.298,19.50,61.70,release,100.00
19.498,381.77,271.33,press,23.20
21.146,16.74,61.70,release,100.00
22.440,367.59,271.33,press,33.40
24.097,14.07,61.70,release,100.00
25.294,334.72,271.33,press,100.00
26.833,29.55,61.70,release,100.00
28.284,349.49,271.33,press,54.70
30.015,30.50,61.70,release,100.00
31.019,355.09,271.33,press,46.18
32.220,258.96,61.70,release,0.00
33.966,386.45,271.33,press,20.38
35.609,16.68,61.70,release,100.00
36.519,334.44,271.33,press,100.00
38.500,59.85,61.70,release,100.00
39.475,393.47,271.33,press,16.48
41.328,9.77,61.70,release,100.00
42.428,402.94,271.33,press,11.75
44.177,13.05,61.70,release,100.00
45.288,400.20,271.33,press,13.07
47.015,28.12,61.70,release,100.00
48.138,393.53,271.33,press,16.45
49.873,29.22,61.70,release,100.00
50.996,348.67,271.33,press,56.26
52.856,9.83,61.70,release,100.00
53.924,415.57,271.33,press,6.15
55.689,21.45,61.70,release,100.00
56.665,372.91,271.33,press,29.22
58.404,46.15,61.70,release,100.00
59.518,408.07,271.33,press,9.40
61.162,31.75,61.70,release,100.00
62.251,365.50,271.33,press,35.20
64.014,11.59,61.70,release,100.00
64.883,358.99,271.33,press,41.57
66.762,16.09,61.70,release,100.00
67.629,373.94,271.33,press,28.46
69.279,47.40,61.70,release,100.00
70.289,325.22,271.33,press,100.00
71.977,27.92,61.70,release,100.00
72.912,320.91,271.33,press,100.00
74.659,60.45,61.70,release,100.00
75.600,385.21,271.33,press,21.10
77.279,50.67,61.70,release,100.00
78.115,308.67,271.33,press,100.00
79.975,19.11,61.70,release,100.00
80.858,343.23,271.33,press,72.00
82.624,23.80,61.70,release,100.00
83.376,343.53,271.33,press,70.61
85.005,6.28,61.70,release,100.00
86.003,355.78,271.33,press,45.31
87.754,27.70,61.70,release,100.00
88.611,390.00,271.33,press,18.36
90.147,39.21,61.70,release,100.00
91.120,345.65,271.33,press,63.29
92.877,16.27,61.70,release,100.00
93.641,333.96,271.33,press,100.00
95.072,18.87,61.70,release,100.00
96.051,420.14,271.33,press,4.28
97.585,3.39,61.70,release,100.00
98.566,403.55,271.33,press,11.47
100.005,29.58,61.70,release,100.00
100.886,265.31,271.33,press,100.00
102.609,8.83,61.70,release,100.00
103.594,371.71,271.33,press,30.11
105.145,0.00,61.70,release,100.00
106.105,368.11,271.33,press,32.97
107.642,39.79,61.70,release,100.00
108.636,485.08,271.33,press,0.00
110.080,82.72,61.70,release,100.00
111.081,385.17,271.33,press,21.13
112.700,12.02,61.70,release,100.00
113.651,504.91,271.33,press,0.00
115.216,31.48,61.70,release,100.00
115.891,345.39,271.33,press,64.01
117.490,52.93,61.70,release,100.00
118.581,441.05,271.33,press,0.00
120.116,21.09,61.70,release,100.00
121.573,555.71,271.33,press,0.00
