time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
14.530,623.82,539.97,press,100.00
14.735,666.50,102.00,release,0.00
17.472,0.92,539.97,press,0.00
17.716,0.00,102.00,release,67.47
20.201,698.98,539.97,press,0.55
20.328,722.31,102.00,release,0.00
22.726,43.18,539.97,press,0.00
22.945,22.27,102.00,release,100.00
25.486,740.15,539.97,press,0.00
25.574,752.10,102.00,release,0.00
30.478,57.32,539.97,press,0.00
30.698,57.66,102.00,release,100.00
33.544,626.80,539.97,press,100.00
37.883,11.82,102.00,release,100.00
40.157,723.08,539.97,press,0.00
43.450,56.65,102.00,release,100.00
45.292,705.65,539.97,press,0.00
48.584,34.40,102.00,release,100.00
50.812,678.92,539.97,press,13.29
54.607,10.04,102.00,release,100.00
57.216,759.14,539.97,press,0.00
60.656,11.55,102.00,release,100.00
63.152,797.17,539.97,press,0.00
65.668,75.06,102.00,release,100.00
67.537,731.74,539.97,press,0.00
69.749,0.59,102.00,release,71.06
71.832,638.35,539.97,press,100.00
74.454,18.04,102.00,release,100.00
76.512,692.51,539.97,press,4.29
79.021,10.72,102.00,release,100.00
81.148,791.77,539.97,press,0.00
83.196,16.45,102.00,release,100.00
