time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
14.292,586.01,496.29,press,39.41
16.249,42.98,95.44,release,100.00
18.128,571.67,496.29,press,60.54
19.889,56.94,95.44,release,100.00
21.754,574.50,496.29,press,54.62
23.405,88.82,95.44,release,100.00
25.476,594.57,496.29,press,31.76
27.209,57.88,95.44,release,100.00
29.178,585.47,496.29,press,39.97
30.929,65.49,95.44,release,100.00
32.696,549.69,496.29,press,100.00
34.538,82.02,95.44,release,100.00
36.328,535.74,496.29,press,100.00
37.961,85.09,95.44,release,100.00
40.112,543.36,496.29,press,100.00
41.666,116.75,95.44,release,100.00
43.774,531.63,496.29,press,100.00
45.601,147.54,95.44,release,100.00
47.141,516.96,496.29,press,100.00
48.836,98.26,95.44,release,100.00
50.439,510.63,496.29,press,100.00
52.308,87.62,95.44,release,100.00
53.825,490.92,496.29,press,100.00
55.586,88.34,95.44,release,100.00
57.342,535.09,496.29,press,100.00
58.958,94.36,95.44,release,100.00
60.495,514.64,496.29,press,100.00
62.368,78.26,95.44,release,100.00
64.123,564.23,496.29,press,100.00
65.735,115.37,95.44,release,100.00
67.398,564.70,496.29,press,100.00
69.026,66.15,95.44,release,100.00
70.664,555.62,496.29,press,100.00
72.402,76.11,95.44,release,100.00
74.070,560.27,496.29,press,100.00
75.846,27.35,95.44,release,100.00
