time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
6.300,721.04,582.79,press,8.72
8.378,0.00,108.42,release,24.49
9.686,671.88,582.79,press,40.05
11.431,0.00,108.42,release,24.49
12.621,693.81,582.79,press,22.84
14.164,18.18,108.42,release,38.88
15.464,770.90,582.79,press,0.00
16.829,71.59,108.42,release,100.00
18.202,747.30,582.79,press,0.00
19.532,82.91,108.42,release,100.00
20.933,780.76,582.79,press,0.00
22.143,113.53,108.42,release,100.00
23.678,759.39,582.79,press,0.00
24.994,95.07,108.42,release,100.00
26.525,854.82,582.79,press,0.00
27.632,145.21,108.42,release,100.00
29.073,775.63,582.79,press,0.00
30.392,68.31,108.42,release,100.00
31.814,787.54,582.79,press,0.00
33.109,61.29,108.42,release,100.00
34.329,754.75,582.79,press,0.00
35.640,61.66,108.42,release,100.00
36.887,677.22,582.79,press,34.97
38.186,167.99,108.42,release,100.00
