Time (s),Left Foot Force (ai16),Right Foot Force (ai18),Handle Force (ai20),Handle Position (ai21),Seat Position (ai22)
0.02512979507446289,0.05206763607320282,-0.028145755202927836,0.1526631111458486,0.18685242115354755,4.902678369592925
0.04594564437866211,0.05239637946898745,-0.02847449862109938,0.15858049178697764,0.18718116451477448,4.902020880708417
0.0686337947845459,0.05239637946898745,-0.02748826836686677,0.16121043873008392,0.18750990787592156,4.898075947420726
0.0909111499786377,0.05173889267732945,-0.02748826836686677,0.15792300505038429,0.18750990787592156,4.8947885030396545
0.11483383178710938,0.05075266248917672,-0.026502038113479925,0.1566080315762162,0.18783865123698884,4.890843569812736
0.1369307041168213,0.05206763607320282,-0.027817011784850326,0.15989546525918386,0.18718116451477448,4.887227381050468
0.15864324569702148,0.049766432300224595,-0.027817011784850326,0.16055295199479708,0.18718116451477448,4.888871103211689
0.1819627285003662,0.052725122864683366,-0.028145755202927836,0.16022420862703127,0.18750990787592156,4.887227381050468
0.20595383644104004,0.05206763607320282,-0.02748826836686677,0.161539182097605,0.18750990787592156,4.888542358778985
0.23067450523376465,0.05173889267732945,-0.029131985457724635,0.16121043873008392,0.18750990787592156,4.888213614346512
0.2545783519744873,0.05239637946898745,-0.028803242039364962,0.16318289893398794,0.18750990787592156,4.893473525293668
0.2782249450683594,0.05173889267732945,-0.029789472294726144,0.1644978724016286,0.18718116451477448,4.894459758602812
0.30250024795532227,0.05239637946898745,-0.029789472294726144,0.16614158923434963,0.18750990787592156,4.893473525293668
0.32782411575317383,0.05239637946898745,-0.029789472294726144,0.1648266157683354,0.18750990787592156,4.891172314247048
0.3525092601776123,0.05239637946898745,-0.030446959132104184,0.1648266157683354,0.18783865123698884,4.890186080944801
0.3764960765838623,0.05239637946898745,-0.030775702550934453,0.1635116423010202,0.18750990787592156,4.885583658894986
0.3992133140563965,0.05075266248917672,-0.031104445969858924,0.1635116423010202,0.18783865123698884,4.879008770330402
0.42483973503112793,0.05173889267732945,-0.030446959132104184,0.1644978724016286,0.18783865123698884,4.872762626278911
0.4498889446258545,0.05239637946898745,-0.029789472294726144,0.1641691290348405,0.18750990787592156,4.866845226727322
0.4747352600097656,0.05239637946898745,-0.029789472294726144,0.16285415556687427,0.18783865123698884,4.858955360773551
0.49837160110473633,0.05075266248917672,-0.029131985457724635,0.1635116423010202,0.18750990787592156,4.848106795301233
0.5227739810943604,0.05206763607320282,-0.029460728876178344,0.16252541219967917,0.18750990787592156,4.8392306964623435
0.5457539558410645,0.05206763607320282,-0.029131985457724635,0.16318289893398794,0.18718116451477448,4.828053387048125
0.5675504207611084,0.05141014928136732,-0.02847449862109938,0.16252541219967917,0.18718116451477448,4.818191055428743
0.5924909114837646,0.05141014928136732,-0.027817011784850326,0.16186792546504455,0.18783865123698884,4.811944912174596
0.6134636402130127,0.05141014928136732,-0.026502038113479925,0.16121043873008392,0.18783865123698884,4.80339755837925
0.6361241340637207,0.05206763607320282,-0.02748826836686677,0.16055295199479708,0.18718116451477448,4.8004388590238625
0.6570780277252197,0.05239637946898745,-0.02715952494897722,0.16186792546504455,0.18750990787592156,4.795836437840411
0.6770882606506348,0.05206763607320282,-0.026830781531181624,0.16581284586796796,0.18718116451477448,4.791234016700778
0.6999232769012451,0.05173889267732945,-0.026502038113479925,0.16581284586796796,0.18783865123698884,4.7879465730564075
0.7212738990783691,0.05108140588531643,-0.029460728876178344,0.16548410250150505,0.18750990787592156,4.786631595604907
0.7429549694061279,0.05206763607320282,-0.02715952494897722,0.16285415556687427,0.18750990787592156,4.785316618156973
0.7639923095703125,0.05141014928136732,-0.02715952494897722,0.16318289893398794,0.18783865123698884,4.784987873795546
0.7878177165985107,0.05206763607320282,-0.02715952494897722,0.16515535913496088,0.18750990787592156,4.788604061783497
0.8105254173278809,0.05206763607320282,-0.02715952494897722,0.161539182097605,0.18750990787592156,4.7879465730564075
0.834951639175415,0.05206763607320282,-0.028145755202927836,0.1566080315762162,0.18783865123698884,4.791562761066443
0.8585023880004883,0.05173889267732945,-0.028803242039364962,0.15003316418570356,0.18750990787592156,4.795836437840411
0.8830962181091309,0.05206763607320282,-0.028145755202927836,0.14707447384924502,0.18783865123698884,4.798795137167596
0.9063553810119629,0.049437688903729474,-0.029131985457724635,0.1441157835061056,0.18750990787592156,4.80339755837925
0.9299781322479248,0.049766432300224595,-0.028145755202927836,0.14280081001811723,0.18783865123698884,4.805698769001541
0.9545881748199463,0.05206763607320282,-0.02847449862109938,0.14181457990125707,0.18718116451477448,4.805370024626256
0.9768571853637695,0.05206763607320282,-0.028803242039364962,0.1411570931562695,0.18750990787592156,4.807342490881333
1.0003807544708252,0.05239637946898745,-0.029131985457724635,0.14280081001811723,0.18783865123698884,4.811944912174596
1.0224721431732178,0.05206763607320282,-0.029131985457724635,0.1411570931562695,0.18750990787592156,4.812931145314592
1.0453896522521973,0.05173889267732945,-0.028145755202927836,0.14148583652880473,0.18783865123698884,4.813259889695041
1.0687370300292969,0.05108140588531643,-0.027817011784850326,0.1411570931562695,0.18718116451477448,4.8142461228377345
1.0926718711853027,0.05206763607320282,-0.02847449862109938,0.13918463291931732,0.18750990787592156,4.813917378456612
1.1162428855895996,0.05173889267732945,-0.02847449862109938,0.13852714617300282,0.18718116451477448,4.810958679036621
1.1407732963562012,0.05108140588531643,-0.029131985457724635,0.138198402799721,0.18750990787592156,4.810301190279094
1.1651816368103027,0.05206763607320282,-0.02715952494897722,0.13786965942635615,0.18750990787592156,4.807013746504927
1.1902263164520264,0.05042391909294819,-0.029131985457724635,0.14148583652880473,0.18685242115354755,4.798795137167596
1.2153124809265137,0.05042391909294819,-0.02847449862109938,0.14773196059125704,0.18783865123698884,4.789590294875804
1.2390475273132324,0.052725122864683366,-0.029460728876178344,0.15036190755600945,0.18718116451477448,4.779399219685381
1.2621550559997559,0.055355070027059666,-0.029131985457724635,0.14345829676227684,0.18718116451477448,4.760660791666976
