Time (s),Button (a19),Right Foot Force (ai18),Handle Force (ai20),Handle Position (ai21),Seat Position (ai22)
0.02889728546142578,-1.5255733409805496,-0.058718893497981234,1.6777030797085517,2.0790985735460894,5.744922448729997
0.05113959312438965,-1.5252445969097568,-0.05970512377929818,1.6790180525953098,2.0794273168062287,5.745251193834468
0.0738668441772461,-1.5255733409805496,-0.05904763692499085,1.6780318229302138,2.078769830285995,5.743607468314974
0.09770870208740234,-1.5255733409805496,-0.05904763692499085,1.6767168500436753,2.0794273168062287,5.745251193834468
0.12047743797302246,-1.5255733409805496,-0.05839015007106768,1.677374336486908,2.077454857246062,5.744922448729997
0.14204978942871094,-1.5255733409805496,-0.05806140664425011,1.6763881068220865,2.078769830285995,5.744593703625812
0.16505074501037598,-1.5252445969097568,-0.05839015007106768,1.6767168500436753,2.078769830285995,5.744922448729997
0.1865997314453125,-1.526230829122713,-0.05904763692499085,1.6777030797085517,2.0790985735460894,5.745579938939224
0.21099472045898438,-1.5249158528391566,-0.058718893497981234,1.6763881068220865,2.0784410870259444,5.7439362134183005
0.23427724838256836,-1.5226146443503459,-0.05937638035209647,1.6796755390387987,2.078769830285995,5.743607468314974
0.2576313018798828,-1.5252445969097568,-0.06562250548538201,1.678360566151894,2.078769830285995,5.745579938939224
0.28159332275390625,-1.5249158528391566,-0.05839015007106768,1.677374336486908,2.078769830285995,5.745579938939224
0.3046293258666992,-1.526230829122713,-0.05839015007106768,1.6770455932652828,2.078769830285995,5.744593703625812
0.32918691635131836,-1.526230829122713,-0.05806140664425011,1.6754018771574286,2.078112343765939,5.744922448729997
0.35343050956726074,-1.5252445969097568,-0.05773266321752854,1.6790180525953098,2.0784410870259444,5.744922448729997
0.3761255741119385,-1.5259020850515348,-0.058718893497981234,1.6754018771574286,2.078112343765939,5.745579938939224
0.3996462821960449,-1.5268883172656469,-0.05904763692499085,1.6790180525953098,2.0794273168062287,5.7459086840442675
0.4252152442932129,-1.5255733409805496,-0.05904763692499085,1.6763881068220865,2.078769830285995,5.744264958521913
0.4487614631652832,-1.5255733409805496,-0.05904763692499085,1.678360566151894,2.0784410870259444,5.745251193834468
0.4744858741760254,-1.5259020850515348,-0.05904763692499085,1.678360566151894,2.0784410870259444,5.7459086840442675
0.4981977939605713,-1.5255733409805496,-0.058718893497981234,1.6809905119259982,2.0790985735460894,5.743278723211933
0.5237677097320557,-1.526230829122713,-0.05904763692499085,1.6786893093735928,2.078769830285995,5.744264958521913
0.547760009765625,-1.5252445969097568,-0.05839015007106768,1.678360566151894,2.0784410870259444,5.7462374291495975
0.5703036785125732,-1.5255733409805496,-0.05839015007106768,1.6760593636005157,2.0784410870259444,5.744593703625812
0.5925045013427734,-1.5259020850515348,-0.05904763692499085,1.6750731339359124,2.078769830285995,5.7439362134183005
0.6120154857635498,-1.5259020850515348,-0.05937638035209647,1.6763881068220865,2.078769830285995,5.7459086840442675
