Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%)
2025-11-20,bob,0:06,100.20,5.50,50.00
2025-11-20,bob,0:22,29.13,5.43,0.00
2025-11-20,bob,0:17,31.94,4.68,0.00
2025-11-20,bob,0:13,0.00,0.00,0.00
2025-11-20,bob,0:01,0.00,0.00,0.00
