Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%)
2025-11-19,demo,0:15,32.24,4.22,0.00
2025-11-19,demo,0:21,33.21,5.87,0.00
2025-11-19,demo,0:03,23.99,0.68,0.00
2025-11-19,demo,0:18,32.49,4.56,0.00
2025-11-19,demo,0:56,34.62,16.18,89.31
2025-11-19,demo,0:07,29.20,1.84,0.00
2025-11-19,demo,0:01,14.27,0.18,0.00
